Instance type,Instance family,Instance size,Availability zones,Free tier eligible,Free Trial available,Bare metal,Hypervisor,vCPUs,Architecture,Cores,Valid cores,Threads per core,Valid threads per core,Sustained clock speed (GHz),Memory (GiB),Storage (GB),Local instance storage,Storage type,Storage disk count,EBS encryption support,EBS optimization support,Network performance,ENA support,Maximum number of network interfaces,IPv4 addresses per interface,IPv6 addresses per interface,IPv6 support,Supported placement group strategies,GPUs,FPGAs,Auto Recovery support,Reboot migration support,Supported root device types,Dedicated Host support,On-Demand Hibernation support,Burstable Performance support,Current generation,EBS Baseline Bandwidth (Mbps),EBS Baseline IOPS,EBS Baseline Throughput (MB/s),EBS Maximum Bandwidth (Mbps),EBS Maximum IOPS,EBS Maximum Throughput (MB/s),On-Demand Windows pricing,On-Demand Linux pricing,On-Demand SUSE pricing,On-Demand RHEL pricing,On-Demand Ubuntu Pro pricing,ENA Express support,ENA queues support
t3a.2xlarge,t3a,2xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,8,x86_64,4,"2,4",2,"1,2",2.2,32,0,-,-,0,supported,default,Up to 5 Gigabit,required,4,15,15,true,"partition, spread",0,0,true,supported,ebs,-,true,true,true,695,4000,86.875,2780,15700,347.5,0.448 USD per Hour,0.3008 USD per Hour,0.4258 USD per Hour,0.416 USD per Hour,0.3148 USD per Hour,false,false
r6id.xlarge,r6id,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,4,x86_64,2,"1,2",2,"1,2",3.5,32,237,true,ssd,1,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,-,-,true,1250,6000,156.25,10000,40000,1250,0.4864 USD per Hour,0.3024 USD per Hour,0.3587 USD per Hour,0.36 USD per Hour,0.3094 USD per Hour,false,true
r7a.xlarge,r7a,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,4,x86_64,4,"1,2,3,4",1,1,3.7,32,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,1250,6000,156.25,10000,40000,1250,0.4883 USD per Hour,0.3043 USD per Hour,0.3606 USD per Hour,0.3619 USD per Hour,0.3113 USD per Hour,false,false
c6a.2xlarge,c6a,2xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,8,x86_64,4,"1,2,3,4",2,"1,2",3.6,16,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,2500,12000,312.5,10000,40000,1250,0.674 USD per Hour,0.306 USD per Hour,0.431 USD per Hour,0.4212 USD per Hour,0.32 USD per Hour,false,false
c6gd.2xlarge,c6gd,2xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,8,arm64,8,"1,2,3,4,5,6,7,8",1,1,2.5,16,474,true,ssd,1,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,2375,12000,296.875,4750,20000,593.75,-,0.3072 USD per Hour,0.4322 USD per Hour,0.4224 USD per Hour,0.3212 USD per Hour,false,false
c5a.2xlarge,c5a,2xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,8,x86_64,4,"1,2,3,4",2,"1,2",3.3,16,0,-,-,0,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,-,-,-,true,800,3200,100,3170,13300,396.25,0.676 USD per Hour,0.308 USD per Hour,0.433 USD per Hour,0.423 USD per Hour,0.322 USD per Hour,false,false
m6g.2xlarge,m6g,2xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,8,arm64,8,"1,2,3,4,5,6,7,8",1,1,2.5,32,0,-,-,0,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,2375,12000,296.875,4750,20000,593.75,-,0.308 USD per Hour,0.433 USD per Hour,0.4232 USD per Hour,0.322 USD per Hour,false,false
i4g.xlarge,i4g,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,4,arm64,4,"1,2,3,4",1,1,2.5,32,937,true,ssd,1,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,1250,5000,156.25,10000,40000,1250,-,0.30888 USD per Hour,0.36518 USD per Hour,0.36648 USD per Hour,0.31588 USD per Hour,false,false
i3.xlarge,i3,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1e, us-east-1f",false,false,false,xen,4,x86_64,2,"1,2",2,"1,2",2.3,30.5,950,true,ssd,1,supported,default,Up to 10 Gigabit,supported,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,850,6000,106.25,850,6000,106.25,0.496 USD per Hour,0.312 USD per Hour,0.412 USD per Hour,0.37 USD per Hour,0.319 USD per Hour,false,false
m6idn.xlarge,m6idn,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,4,x86_64,2,"1,2",2,"1,2",3.5,16,237,true,ssd,1,supported,default,Up to 30 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,3125,12500,390.625,25000,100000,3125,0.50224 USD per Hour,0.31824 USD per Hour,0.37454 USD per Hour,0.37584 USD per Hour,0.32524 USD per Hour,false,true
