Instance type,Instance family,Instance size,Availability zones,Free tier eligible,Free Trial available,Bare metal,Hypervisor,vCPUs,Architecture,Cores,Valid cores,Threads per core,Valid threads per core,Sustained clock speed (GHz),Memory (GiB),Storage (GB),Local instance storage,Storage type,Storage disk count,EBS encryption support,EBS optimization support,Network performance,ENA support,Maximum number of network interfaces,IPv4 addresses per interface,IPv6 addresses per interface,IPv6 support,Supported placement group strategies,GPUs,FPGAs,Auto Recovery support,Reboot migration support,Supported root device types,Dedicated Host support,On-Demand Hibernation support,Burstable Performance support,Current generation,EBS Baseline Bandwidth (Mbps),EBS Baseline IOPS,EBS Baseline Throughput (MB/s),EBS Maximum Bandwidth (Mbps),EBS Maximum IOPS,EBS Maximum Throughput (MB/s),On-Demand Windows pricing,On-Demand Linux pricing,On-Demand SUSE pricing,On-Demand RHEL pricing,On-Demand Ubuntu Pro pricing,ENA Express support,ENA queues support
c5a.xlarge,c5a,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,4,x86_64,2,"1,2",2,"1,2",3.3,8,0,-,-,0,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,-,-,-,true,400,1600,50,3170,13300,396.25,0.338 USD per Hour,0.154 USD per Hour,0.21 USD per Hour,0.212 USD per Hour,0.161 USD per Hour,false,false
i4g.large,i4g,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,2,arm64,2,"1,2",1,1,2.5,16,468,true,ssd,1,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,625,2500,78.125,10000,40000,1250,-,0.15444 USD per Hour,0.21074 USD per Hour,0.18324 USD per Hour,0.15794 USD per Hour,false,false
i3.large,i3,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1e, us-east-1f",false,false,false,xen,2,x86_64,1,1,2,"1,2",2.3,15.3,475,true,ssd,1,supported,default,Up to 10 Gigabit,supported,3,10,10,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,425,3000,53.125,425,3000,53.125,0.248 USD per Hour,0.156 USD per Hour,0.256 USD per Hour,0.185 USD per Hour,0.16 USD per Hour,false,false
m6idn.large,m6idn,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,2,x86_64,1,1,2,"1,2",3.5,8,118,true,ssd,1,supported,default,Up to 25 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,1562,6250,195.3125,25000,100000,3125,0.25112 USD per Hour,0.15912 USD per Hour,0.21542 USD per Hour,0.18792 USD per Hour,0.16262 USD per Hour,false,true
c8g.xlarge,c8g,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,4,arm64,4,"1,2,3,4",1,1,2.8,8,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,1250,6000,156.25,10000,40000,1250,-,0.15952 USD per Hour,0.21582 USD per Hour,0.21712 USD per Hour,0.16652 USD per Hour,false,false
r8a.large,r8a,large,"us-east-1b, us-east-1c, us-east-1d",false,false,false,nitro,2,x86_64,2,"1,2",1,1,4.5,16,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,3,20,20,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,650,3600,81.25,10000,40000,1250,0.25176 USD per Hour,0.15976 USD per Hour,0.21606 USD per Hour,0.18856 USD per Hour,0.16326 USD per Hour,false,true
m7g.xlarge,m7g,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,4,arm64,4,"1,2,3,4",1,1,2.6,16,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,1250,6000,156.25039999999998,10000,40000,1250,-,0.1632 USD per Hour,0.2195 USD per Hour,0.2208 USD per Hour,0.1702 USD per Hour,false,false
m5zn.large,m5zn,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,2,x86_64,1,1,2,"1,2",4.5,8,0,-,-,0,supported,default,Up to 25 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,true,800,3333,100,3170,13333,396.25,0.2572 USD per Hour,0.1652 USD per Hour,0.2215 USD per Hour,0.194 USD per Hour,0.1687 USD per Hour,false,false
r3.large,r3,large,"us-east-1b, us-east-1c, us-east-1d, us-east-1e",false,false,false,xen,2,x86_64,1,1,2,"1,2",2.5,15,32,true,ssd,1,supported,unsupported,Moderate,unsupported,3,10,10,true,"cluster, partition, spread",0,0,true,unsupported,"ebs, instance-store",true,true,-,false,0,0,0,0,0,0,0.291 USD per Hour,0.166 USD per Hour,0.266 USD per Hour,0.195 USD per Hour,-,false,false
t3.xlarge,t3,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,4,x86_64,2,2,2,"1,2",2.5,16,0,-,-,0,supported,default,Up to 5 Gigabit,required,4,15,15,true,"partition, spread",0,0,true,supported,ebs,true,true,true,true,695,4000,86.875,2780,15700,347.5,0.24 USD per Hour,0.1664 USD per Hour,0.2227 USD per Hour,0.224 USD per Hour,0.1734 USD per Hour,false,false
