Instance type,Instance family,Instance size,Availability zones,Free tier eligible,Free Trial available,Bare metal,Hypervisor,vCPUs,Architecture,Cores,Valid cores,Threads per core,Valid threads per core,Sustained clock speed (GHz),Memory (GiB),Storage (GB),Local instance storage,Storage type,Storage disk count,EBS encryption support,EBS optimization support,Network performance,ENA support,Maximum number of network interfaces,IPv4 addresses per interface,IPv6 addresses per interface,IPv6 support,Supported placement group strategies,GPUs,FPGAs,Auto Recovery support,Reboot migration support,Supported root device types,Dedicated Host support,On-Demand Hibernation support,Burstable Performance support,Current generation,EBS Baseline Bandwidth (Mbps),EBS Baseline IOPS,EBS Baseline Throughput (MB/s),EBS Maximum Bandwidth (Mbps),EBS Maximum IOPS,EBS Maximum Throughput (MB/s),On-Demand Windows pricing,On-Demand Linux pricing,On-Demand SUSE pricing,On-Demand RHEL pricing,On-Demand Ubuntu Pro pricing,ENA Express support,ENA queues support
c7gn.medium,c7gn,medium,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,1,arm64,1,-,1,-,2.6,2,0,-,-,0,supported,default,Up to 25 Gigabit,required,2,4,4,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,521,2083,65.125,10000,40000,1250,-,0.0624 USD per Hour,0.1187 USD per Hour,0.0768 USD per Hour,0.0642 USD per Hour,false,false
m3.medium,m3,medium,"us-east-1b, us-east-1c, us-east-1d, us-east-1e",false,false,false,xen,1,x86_64,1,-,1,-,2.5,3.75,4,true,ssd,1,supported,unsupported,Moderate,unsupported,2,6,0,-,"partition, spread",0,0,true,unsupported,"ebs, instance-store",true,true,-,false,0,0,0,0,0,0,0.13 USD per Hour,0.067 USD per Hour,0.167 USD per Hour,0.081 USD per Hour,-,false,false
t4g.large,t4g,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,2,arm64,2,"1,2",1,1,2.5,8,0,-,-,0,supported,default,Up to 5 Gigabit,required,3,12,12,true,"partition, spread",0,0,true,supported,ebs,-,true,true,true,695,4000,86.875,2780,15700,347.5,-,0.0672 USD per Hour,0.1235 USD per Hour,0.096 USD per Hour,0.0707 USD per Hour,false,false
c6g.large,c6g,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,2,arm64,2,"1,2",1,1,2.5,4,0,-,-,0,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,630,3600,78.75,4750,20000,593.75,-,0.068 USD per Hour,0.1243 USD per Hour,0.0968 USD per Hour,0.0715 USD per Hour,false,false
r7gd.medium,r7gd,medium,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,1,arm64,1,-,1,-,2.6,8,59,true,ssd,1,supported,default,Up to 12.5 Gigabit,required,2,4,4,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,315,2500,39.375,10000,40000,1250,-,0.068 USD per Hour,0.1243 USD per Hour,0.0824 USD per Hour,0.0698 USD per Hour,false,false
c7g.large,c7g,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,2,arm64,2,"1,2",1,1,2.6,4,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,630,3600,78.75,10000,40000,1250,-,0.0725 USD per Hour,0.1288 USD per Hour,0.1013 USD per Hour,0.076 USD per Hour,false,false
m8gb.medium,m8gb,medium,"us-east-1b, us-east-1c, us-east-1d",false,false,false,nitro,1,arm64,1,-,1,-,2.8,4,0,-,-,0,supported,default,Up to 16.66 Gigabit,required,2,4,4,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,1562,7500,195.3125,25000,120000,3125,-,0.07275 USD per Hour,0.12905 USD per Hour,0.08715 USD per Hour,0.0745 USD per Hour,false,true
m8gn.medium,m8gn,medium,"us-east-1b, us-east-1c, us-east-1d",false,false,false,nitro,1,arm64,1,-,1,-,2.8,4,0,-,-,0,supported,default,Up to 25 Gigabit,required,2,4,4,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,760,2500,95,10000,40000,1250,-,0.0728 USD per Hour,0.1291 USD per Hour,0.0872 USD per Hour,0.0745 USD per Hour,false,true
r8gd.medium,r8gd,medium,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,1,arm64,1,-,1,-,2.8,8,59,true,ssd,1,supported,default,Up to 12.5 Gigabit,required,2,4,4,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,315,2500,39.375,10000,40000,1250,-,0.07348 USD per Hour,0.12978 USD per Hour,0.08788 USD per Hour,0.07523 USD per Hour,false,false
t3a.large,t3a,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,2,x86_64,1,1,2,"1,2",2.2,8,0,-,-,0,supported,default,Up to 5 Gigabit,required,3,12,12,true,"partition, spread",0,0,true,supported,ebs,-,true,true,true,695,4000,86.875,2780,15700,347.5,0.1028 USD per Hour,0.0752 USD per Hour,0.1315 USD per Hour,0.104 USD per Hour,0.0787 USD per Hour,false,false
