Instance type,Instance family,Instance size,Availability zones,Free tier eligible,Free Trial available,Bare metal,Hypervisor,vCPUs,Architecture,Cores,Valid cores,Threads per core,Valid threads per core,Sustained clock speed (GHz),Memory (GiB),Storage (GB),Local instance storage,Storage type,Storage disk count,EBS encryption support,EBS optimization support,Network performance,ENA support,Maximum number of network interfaces,IPv4 addresses per interface,IPv6 addresses per interface,IPv6 support,Supported placement group strategies,GPUs,FPGAs,Auto Recovery support,Reboot migration support,Supported root device types,Dedicated Host support,On-Demand Hibernation support,Burstable Performance support,Current generation,EBS Baseline Bandwidth (Mbps),EBS Baseline IOPS,EBS Baseline Throughput (MB/s),EBS Maximum Bandwidth (Mbps),EBS Maximum IOPS,EBS Maximum Throughput (MB/s),On-Demand Windows pricing,On-Demand Linux pricing,On-Demand SUSE pricing,On-Demand RHEL pricing,On-Demand Ubuntu Pro pricing,ENA Express support,ENA queues support
t4g.micro,t4g,micro,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",true,false,false,nitro,2,arm64,2,"1,2",1,1,2.5,1,0,-,-,0,supported,default,Up to 5 Gigabit,required,2,2,2,true,"partition, spread",0,0,true,supported,ebs,-,true,true,true,87,500,10875,2085,11800,260625,-,0.0084 USD per Hour,0.0084 USD per Hour,0.0372 USD per Hour,0.0119 USD per Hour,false,false
t3a.micro,t3a,micro,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,2,x86_64,1,1,2,"1,2",2.2,1,0,-,-,0,supported,default,Up to 5 Gigabit,required,2,2,2,true,"partition, spread",0,0,true,supported,ebs,-,true,true,true,90,500,11.25,2085,11800,260625,0.0186 USD per Hour,0.0094 USD per Hour,0.0094 USD per Hour,0.0382 USD per Hour,0.0129 USD per Hour,false,false
t3.micro,t3,micro,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",true,false,false,nitro,2,x86_64,1,1,2,"1,2",2.5,1,0,-,-,0,supported,default,Up to 5 Gigabit,required,2,2,2,true,"partition, spread",0,0,true,supported,ebs,true,true,true,true,87,500,10875,2085,11800,260625,0.0196 USD per Hour,0.0104 USD per Hour,0.0104 USD per Hour,0.0392 USD per Hour,0.0139 USD per Hour,false,false
t2.micro,t2,micro,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1e, us-east-1f",false,false,false,xen,1,"i386, x86_64",1,-,1,-,2.5,1,0,-,-,0,supported,unsupported,Low to Moderate,unsupported,2,2,2,true,"partition, spread",0,0,true,supported,ebs,-,true,true,true,0,0,0,0,0,0,0.0162 USD per Hour,0.0116 USD per Hour,0.0116 USD per Hour,0.026 USD per Hour,0.0134 USD per Hour,false,false
t4g.small,t4g,small,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",true,true,false,nitro,2,arm64,2,"1,2",1,1,2.5,2,0,-,-,0,supported,default,Up to 5 Gigabit,required,3,4,4,true,"partition, spread",0,0,true,supported,ebs,-,true,true,true,174,1000,21.75,2085,11800,260625,-,0.0168 USD per Hour,0.0481 USD per Hour,0.0456 USD per Hour,0.0203 USD per Hour,false,false
t3a.small,t3a,small,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,2,x86_64,1,1,2,"1,2",2.2,2,0,-,-,0,supported,default,Up to 5 Gigabit,required,2,4,4,true,"partition, spread",0,0,true,supported,ebs,-,true,true,true,175,1000,21875,2085,11800,260625,0.0372 USD per Hour,0.0188 USD per Hour,0.0498 USD per Hour,0.0476 USD per Hour,0.0223 USD per Hour,false,false
t1.micro,t1,micro,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,xen,1,"i386, x86_64",1,-,1,-,,612,0,-,-,0,supported,unsupported,Very Low,unsupported,2,2,0,-,"partition, spread",0,0,true,supported,ebs,-,-,-,false,0,0,0,0,0,0,0.02 USD per Hour,0.02 USD per Hour,0.02 USD per Hour,0.03 USD per Hour,-,false,false
t3.small,t3,small,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",true,false,false,nitro,2,x86_64,1,1,2,"1,2",2.5,2,0,-,-,0,supported,default,Up to 5 Gigabit,required,3,4,4,true,"partition, spread",0,0,true,supported,ebs,true,true,true,true,174,1000,21.75,2085,11800,260625,0.0392 USD per Hour,0.0208 USD per Hour,0.0518 USD per Hour,0.0496 USD per Hour,0.0243 USD per Hour,false,false
t2.small,t2,small,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1e, us-east-1f",false,false,false,xen,1,"i386, x86_64",1,-,1,-,2.5,2,0,-,-,0,supported,unsupported,Low to Moderate,unsupported,3,4,4,true,"partition, spread",0,0,true,supported,ebs,-,true,true,true,0,0,0,0,0,0,0.032 USD per Hour,0.023 USD per Hour,0.053 USD per Hour,0.0376 USD per Hour,0.025 USD per Hour,false,false
a1.medium,a1,medium,"us-east-1b, us-east-1c, us-east-1d",false,false,false,nitro,1,arm64,1,-,1,-,2.3,2,0,-,-,0,supported,default,Up to 10 Gigabit,required,2,4,4,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,false,300,2500,37.5,3500,20000,437.5,-,0.0255 USD per Hour,0.0565 USD per Hour,0.0399 USD per Hour,-,false,false
