Instance type,Instance family,Instance size,Availability zones,Free tier eligible,Free Trial available,Bare metal,Hypervisor,vCPUs,Architecture,Cores,Valid cores,Threads per core,Valid threads per core,Sustained clock speed (GHz),Memory (GiB),Storage (GB),Local instance storage,Storage type,Storage disk count,EBS encryption support,EBS optimization support,Network performance,ENA support,Maximum number of network interfaces,IPv4 addresses per interface,IPv6 addresses per interface,IPv6 support,Supported placement group strategies,GPUs,FPGAs,Auto Recovery support,Reboot migration support,Supported root device types,Dedicated Host support,On-Demand Hibernation support,Burstable Performance support,Current generation,EBS Baseline Bandwidth (Mbps),EBS Baseline IOPS,EBS Baseline Throughput (MB/s),EBS Maximum Bandwidth (Mbps),EBS Maximum IOPS,EBS Maximum Throughput (MB/s),On-Demand Windows pricing,On-Demand Linux pricing,On-Demand SUSE pricing,On-Demand RHEL pricing,On-Demand Ubuntu Pro pricing,ENA Express support,ENA queues support
t4g.medium,t4g,medium,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,2,arm64,2,"1,2",1,1,2.5,4,0,-,-,0,supported,default,Up to 5 Gigabit,required,3,6,6,true,"partition, spread",0,0,true,supported,ebs,-,true,true,true,347,2000,43375,2085,11800,260625,-,0.0336 USD per Hour,0.0899 USD per Hour,0.0624 USD per Hour,0.0371 USD per Hour,false,false
c6g.medium,c6g,medium,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,1,arm64,1,-,1,-,2.5,2,0,-,-,0,supported,default,Up to 10 Gigabit,required,2,4,4,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,315,2500,39375,4750,20000,593.75,-,0.034 USD per Hour,0.065 USD per Hour,0.0484 USD per Hour,0.0358 USD per Hour,false,false
c7g.medium,c7g,medium,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,1,arm64,1,-,1,-,2.6,2,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,2,4,4,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,315,2500,39375,10000,40000,1250,-,0.0363 USD per Hour,0.0673 USD per Hour,0.0507 USD per Hour,0.038 USD per Hour,false,false
t3a.medium,t3a,medium,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,2,x86_64,1,1,2,"1,2",2.2,4,0,-,-,0,supported,default,Up to 5 Gigabit,required,3,6,6,true,"partition, spread",0,0,true,supported,ebs,-,true,true,true,350,2000,43.75,2085,11800,260625,0.056 USD per Hour,0.0376 USD per Hour,0.0939 USD per Hour,0.0664 USD per Hour,0.0411 USD per Hour,false,false
c6gd.medium,c6gd,medium,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,1,arm64,1,-,1,-,2.5,2,59,true,ssd,1,supported,default,Up to 10 Gigabit,required,2,4,4,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,315,2500,39375,4750,20000,593.75,-,0.0384 USD per Hour,0.0694 USD per Hour,0.0528 USD per Hour,0.0402 USD per Hour,false,false
m6g.medium,m6g,medium,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,1,arm64,1,-,1,-,2.5,4,0,-,-,0,supported,default,Up to 10 Gigabit,required,2,4,4,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,315,2500,39375,4750,20000,593.75,-,0.0385 USD per Hour,0.0695 USD per Hour,0.0529 USD per Hour,0.0403 USD per Hour,false,false
c8g.medium,c8g,medium,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,1,arm64,1,-,1,-,2.8,2,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,2,4,4,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,315,2500,39375,10000,40000,1250,-,0.03988 USD per Hour,0.09618 USD per Hour,0.05428 USD per Hour,0.04163 USD per Hour,false,false
m7g.medium,m7g,medium,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,1,arm64,1,-,1,-,2.6,4,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,2,4,4,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,315,2500,39375,10000,40000,1250,-,0.0408 USD per Hour,0.0971 USD per Hour,0.0552 USD per Hour,0.0426 USD per Hour,false,false
t3.medium,t3,medium,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,2,x86_64,1,1,2,"1,2",2.5,4,0,-,-,0,supported,default,Up to 5 Gigabit,required,3,6,6,true,"partition, spread",0,0,true,supported,ebs,true,true,true,true,347,2000,43375,2085,11800,260625,0.06 USD per Hour,0.0416 USD per Hour,0.0979 USD per Hour,0.0704 USD per Hour,0.0451 USD per Hour,false,false
c6gn.medium,c6gn,medium,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,1,arm64,1,1,1,1,2.5,2,0,-,-,0,supported,default,Up to 16 Gigabit,required,2,4,4,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,false,760,2500,95,9500,40000,1187.5,-,0.0432 USD per Hour,0.0742 USD per Hour,0.0576 USD per Hour,0.04495 USD per Hour,false,false
m1.small,m1,small,"us-east-1a, us-east-1b, us-east-1c, us-east-1d",false,false,false,xen,1,"i386, x86_64",1,-,1,-,,1.7,160,true,hdd,1,supported,unsupported,Low,unsupported,2,4,0,-,"partition, spread",0,0,-,unsupported,"ebs, instance-store",-,-,-,false,0,0,0,0,0,0,0.075 USD per Hour,0.044 USD per Hour,0.074 USD per Hour,0.058 USD per Hour,-,false,false
m8g.medium,m8g,medium,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,1,arm64,1,-,1,-,2.8,4,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,2,4,4,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,315,2500,39375,10000,40000,1250,-,0.04488 USD per Hour,0.10118 USD per Hour,0.05928 USD per Hour,0.04663 USD per Hour,false,false
m6gd.medium,m6gd,medium,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,1,arm64,1,-,1,-,2.5,4,59,true,ssd,1,supported,default,Up to 10 Gigabit,required,2,4,4,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,315,2500,39375,4750,20000,593.75,-,0.0452 USD per Hour,0.0762 USD per Hour,0.0596 USD per Hour,0.047 USD per Hour,false,false
c7gd.medium,c7gd,medium,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,1,arm64,1,-,1,-,2.6,2,59,true,ssd,1,supported,default,Up to 12.5 Gigabit,required,2,4,4,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,315,2500,39375,10000,40000,1250,-,0.0454 USD per Hour,0.1017 USD per Hour,0.0598 USD per Hour,0.0471 USD per Hour,false,false
t2.medium,t2,medium,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1e, us-east-1f",false,false,false,xen,2,"i386, x86_64",2,-,1,-,2.3,4,0,-,-,0,supported,unsupported,Low to Moderate,unsupported,3,6,6,true,"partition, spread",0,0,true,supported,ebs,-,true,true,true,0,0,0,0,0,0,0.0644 USD per Hour,0.0464 USD per Hour,0.1464 USD per Hour,0.0752 USD per Hour,0.0499 USD per Hour,false,false
c8gd.medium,c8gd,medium,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,1,arm64,1,-,1,-,2.8,2,59,true,ssd,1,supported,default,Up to 12.5 Gigabit,required,2,4,4,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,315,2500,39375,10000,40000,1250,-,0.04899 USD per Hour,0.10529 USD per Hour,0.06339 USD per Hour,0.05074 USD per Hour,false,false
r6g.medium,r6g,medium,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,1,arm64,1,-,1,-,2.5,8,0,-,-,0,supported,default,Up to 10 Gigabit,required,2,4,4,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,315,2500,39375,4750,20000,593.75,-,0.0504 USD per Hour,0.0814 USD per Hour,0.0648 USD per Hour,0.0522 USD per Hour,false,false
a1.large,a1,large,"us-east-1b, us-east-1c, us-east-1d",false,false,false,nitro,2,arm64,2,-,1,-,2.3,4,0,-,-,0,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,false,525,4000,65625,3500,20000,437.5,-,0.051 USD per Hour,0.1073 USD per Hour,0.0798 USD per Hour,-,false,false
c7a.medium,c7a,medium,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,1,x86_64,1,-,1,-,3.7,2,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,2,4,4,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,325,2500,40625,10000,40000,1250,0.09732 USD per Hour,0.05132 USD per Hour,0.10762 USD per Hour,0.06572 USD per Hour,0.05307 USD per Hour,false,false
m7gd.medium,m7gd,medium,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,1,arm64,1,-,1,-,2.6,4,59,true,ssd,1,supported,default,Up to 12.5 Gigabit,required,2,4,4,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,315,2500,39375,10000,40000,1250,-,0.0534 USD per Hour,0.1097 USD per Hour,0.0678 USD per Hour,0.0551 USD per Hour,false,false
r7g.medium,r7g,medium,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,1,arm64,1,-,1,-,2.6,8,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,2,4,4,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,315,2500,39375,10000,40000,1250,-,0.0536 USD per Hour,0.1099 USD per Hour,0.068 USD per Hour,0.0553 USD per Hour,false,false
c8a.medium,c8a,medium,"us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,1,x86_64,1,1,1,1,4.5,2,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,2,4,4,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,325,2500,40625,10000,40000,1250,0.09989 USD per Hour,0.05389 USD per Hour,0.11019 USD per Hour,0.06829 USD per Hour,0.05564 USD per Hour,false,true
r6gd.medium,r6gd,medium,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,1,arm64,1,-,1,-,2.5,8,59,true,ssd,1,supported,default,Up to 10 Gigabit,required,2,4,4,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,315,2500,39375,4750,20000,593.75,-,0.0576 USD per Hour,0.0886 USD per Hour,0.072 USD per Hour,0.0594 USD per Hour,false,false
m8gd.medium,m8gd,medium,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,1,arm64,1,-,1,-,2.8,4,59,true,ssd,1,supported,default,Up to 12.5 Gigabit,required,2,4,4,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,315,2500,39375,10000,40000,1250,-,0.05766 USD per Hour,0.11396 USD per Hour,0.07206 USD per Hour,0.05941 USD per Hour,false,false
m7a.medium,m7a,medium,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,1,x86_64,1,-,1,-,3.7,4,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,2,4,4,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,325,2500,40625,10000,40000,1250,0.10396 USD per Hour,0.05796 USD per Hour,0.11426 USD per Hour,0.07236 USD per Hour,0.05971 USD per Hour,false,false
r8g.medium,r8g,medium,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,1,arm64,1,-,1,-,2.8,8,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,2,4,4,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,315,2500,39375,10000,40000,1250,-,0.05891 USD per Hour,0.11521 USD per Hour,0.07331 USD per Hour,0.06066 USD per Hour,false,false
c8gb.medium,c8gb,medium,"us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,1,arm64,1,-,1,-,2.8,2,0,-,-,0,supported,default,Up to 16.66 Gigabit,required,2,4,4,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,1562,7500,195.3125,25000,120000,3125,-,0.05925 USD per Hour,0.11555 USD per Hour,0.07365 USD per Hour,0.061 USD per Hour,false,true
c8gn.medium,c8gn,medium,"us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,1,arm64,1,-,1,-,2.8,2,0,-,-,0,supported,default,Up to 25 Gigabit,required,2,4,4,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,760,2500,95,10000,40000,1250,-,0.0593 USD per Hour,0.1156 USD per Hour,0.0737 USD per Hour,0.061 USD per Hour,false,true
m8a.medium,m8a,medium,"us-east-1b, us-east-1c, us-east-1d",false,false,false,nitro,1,x86_64,1,1,1,1,4.5,4,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,2,4,4,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,325,2500,40625,10000,40000,1250,0.10686 USD per Hour,0.06086 USD per Hour,0.11716 USD per Hour,0.07526 USD per Hour,0.06261 USD per Hour,false,true
