Instance type,Instance family,Instance size,Availability zones,Free tier eligible,Free Trial available,Bare metal,Hypervisor,vCPUs,Architecture,Cores,Valid cores,Threads per core,Valid threads per core,Sustained clock speed (GHz),Memory (GiB),Storage (GB),Local instance storage,Storage type,Storage disk count,EBS encryption support,EBS optimization support,Network performance,ENA support,Maximum number of network interfaces,IPv4 addresses per interface,IPv6 addresses per interface,IPv6 support,Supported placement group strategies,GPUs,FPGAs,Auto Recovery support,Reboot migration support,Supported root device types,Dedicated Host support,On-Demand Hibernation support,Burstable Performance support,Current generation,EBS Baseline Bandwidth (Mbps),EBS Baseline IOPS,EBS Baseline Throughput (MB/s),EBS Maximum Bandwidth (Mbps),EBS Maximum IOPS,EBS Maximum Throughput (MB/s),On-Demand Windows pricing,On-Demand Linux pricing,On-Demand SUSE pricing,On-Demand RHEL pricing,On-Demand Ubuntu Pro pricing,ENA Express support,ENA queues support
a1.2xlarge,a1,2xlarge,"us-east-1b, us-east-1c, us-east-1d",false,false,false,nitro,8,arm64,8,-,1,-,2.3,16,0,-,-,0,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,false,1750,10000,218.75,3500,20000,437.5,-,0.204 USD per Hour,0.329 USD per Hour,0.3192 USD per Hour,-,false,false
c7a.xlarge,c7a,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,4,x86_64,4,"1,2,3,4",1,1,3.7,8,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,1250,6000,156.25,10000,40000,1250,0.38928 USD per Hour,0.20528 USD per Hour,0.26158 USD per Hour,0.26288 USD per Hour,0.21228 USD per Hour,false,false
m5ad.xlarge,m5ad,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,4,x86_64,2,2,2,"1,2",2.2,16,150,true,ssd,1,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,-,true,-,true,1085,6000,135.625,2880,16000,360,0.39 USD per Hour,0.206 USD per Hour,0.262 USD per Hour,0.264 USD per Hour,0.213 USD per Hour,false,false
c3.xlarge,c3,xlarge,"us-east-1b, us-east-1c, us-east-1d, us-east-1e",false,false,false,xen,4,x86_64,2,"1,2",2,"1,2",2.8,7.5,80,true,ssd,2,supported,supported,Moderate,unsupported,4,15,15,true,"cluster, partition, spread",0,0,true,unsupported,"ebs, instance-store",true,true,-,false,500,4000,62.5,500,4000,62.5,0.376 USD per Hour,0.21 USD per Hour,0.31 USD per Hour,0.268 USD per Hour,-,false,false
m8i.xlarge,m8i,xlarge,"us-east-1b, us-east-1c, us-east-1d",false,false,false,nitro,4,x86_64,2,"1,2",2,"1,2",3.9,16,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,4,30,30,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,1250,6000,156.25,10000,40000,1250,0.39568 USD per Hour,0.21168 USD per Hour,0.26798 USD per Hour,0.26928 USD per Hour,0.21868 USD per Hour,false,true
m7gd.xlarge,m7gd,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,4,arm64,4,"1,2,3,4",1,1,2.6,16,237,true,ssd,1,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,1250,6000,156.25039999999998,10000,40000,1250,-,0.2136 USD per Hour,0.2699 USD per Hour,0.2712 USD per Hour,0.2206 USD per Hour,false,false
r7g.xlarge,r7g,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,4,arm64,4,"1,2,3,4",1,1,2.6,32,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,1250,6000,156.25039999999998,10000,40000,1250,-,0.2142 USD per Hour,0.2705 USD per Hour,0.2718 USD per Hour,0.2212 USD per Hour,false,false
c8a.xlarge,c8a,xlarge,"us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,4,x86_64,4,"1,2,3,4",1,1,4.5,8,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,4,20,20,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,1250,6000,156.25,10000,40000,1250,0.39954 USD per Hour,0.21554 USD per Hour,0.27184 USD per Hour,0.27314 USD per Hour,0.22254 USD per Hour,false,true
c5n.xlarge,c5n,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,4,x86_64,2,2,2,"1,2",3.4,10.5,0,-,-,0,supported,default,Up to 25 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,true,1150,6000,143.75,4750,20000,593.75,0.4 USD per Hour,0.216 USD per Hour,0.272 USD per Hour,0.274 USD per Hour,0.223 USD per Hour,false,false
r5a.xlarge,r5a,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,4,x86_64,2,2,2,"1,2",2.5,32,0,-,-,0,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,-,true,-,true,1085,6000,135.625,2880,16000,360,0.41 USD per Hour,0.226 USD per Hour,0.282 USD per Hour,0.284 USD per Hour,0.233 USD per Hour,false,false
m5d.xlarge,m5d,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,4,x86_64,2,2,2,"1,2",3.1,16,150,true,ssd,1,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,1150,6000,143.75,4750,18750,593.75,0.41 USD per Hour,0.226 USD per Hour,0.282 USD per Hour,0.284 USD per Hour,0.233 USD per Hour,false,false
i3en.large,i3en,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,2,x86_64,1,1,2,"1,2",3.1,16,1250,true,ssd,1,supported,default,Up to 25 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,576,3000,72.1,4750,20000,593.75,0.318 USD per Hour,0.226 USD per Hour,0.282 USD per Hour,0.255 USD per Hour,0.23 USD per Hour,false,false
r6a.xlarge,r6a,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,4,x86_64,2,"1,2",2,"1,2",3.6,32,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,1250,6000,156.25,10000,40000,1250,0.4108 USD per Hour,0.2268 USD per Hour,0.2831 USD per Hour,0.2844 USD per Hour,0.2338 USD per Hour,false,false
c6in.xlarge,c6in,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,4,x86_64,2,"1,2",2,"1,2",3.5,8,0,-,-,0,supported,default,Up to 30 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,3125,12500,390.625,25000,100000,3125,0.4108 USD per Hour,0.2268 USD per Hour,0.2831 USD per Hour,0.2844 USD per Hour,0.2338 USD per Hour,false,true
inf1.xlarge,inf1,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,4,x86_64,2,2,2,"1,2",2.5,8,0,-,-,0,supported,default,Up to 25 Gigabit,required,4,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,-,-,-,true,1190,4000,148.75,4750,20000,593.75,-,0.228 USD per Hour,0.284 USD per Hour,0.286 USD per Hour,0.235 USD per Hour,false,false
r6gd.xlarge,r6gd,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,4,arm64,4,"1,2,3,4",1,1,2.5,32,237,true,ssd,1,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,1188,6000,148.5,4750,20000,593.75,-,0.2304 USD per Hour,0.2867 USD per Hour,0.288 USD per Hour,0.2374 USD per Hour,false,false
