Instance type,Instance family,Instance size,Availability zones,Free tier eligible,Free Trial available,Bare metal,Hypervisor,vCPUs,Architecture,Cores,Valid cores,Threads per core,Valid threads per core,Sustained clock speed (GHz),Memory (GiB),Storage (GB),Local instance storage,Storage type,Storage disk count,EBS encryption support,EBS optimization support,Network performance,ENA support,Maximum number of network interfaces,IPv4 addresses per interface,IPv6 addresses per interface,IPv6 support,Supported placement group strategies,GPUs,FPGAs,Auto Recovery support,Reboot migration support,Supported root device types,Dedicated Host support,On-Demand Hibernation support,Burstable Performance support,Current generation,EBS Baseline Bandwidth (Mbps),EBS Baseline IOPS,EBS Baseline Throughput (MB/s),EBS Maximum Bandwidth (Mbps),EBS Maximum IOPS,EBS Maximum Throughput (MB/s),On-Demand Windows pricing,On-Demand Linux pricing,On-Demand SUSE pricing,On-Demand RHEL pricing,On-Demand Ubuntu Pro pricing,ENA Express support,ENA queues support
c8gd.2xlarge,c8gd,2xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,8,arm64,8,"1,2,3,4,5,6,7,8",1,1,2.8,16,474,true,ssd,1,supported,default,Up to 15 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,2500,12000,312.5,10000,40000,1250,-,0.39192 USD per Hour,0.51692 USD per Hour,0.50712 USD per Hour,0.40592 USD per Hour,false,false
c4.2xlarge,c4,2xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1e, us-east-1f",false,false,false,xen,8,x86_64,4,"1,2,3,4",2,"1,2",2.9,15,0,-,-,0,supported,default,High,unsupported,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,false,1000,8000,125,1000,8000,125,0.766 USD per Hour,0.398 USD per Hour,0.498 USD per Hour,0.515 USD per Hour,0.414 USD per Hour,false,false
m4.2xlarge,m4,2xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1e, us-east-1f",false,false,false,xen,8,x86_64,4,"1,2,3,4",2,"1,2",2.4,32,0,-,-,0,supported,default,High,unsupported,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,false,1000,8000,125,1000,8000,125,0.768 USD per Hour,0.4 USD per Hour,0.5 USD per Hour,0.5152 USD per Hour,0.414 USD per Hour,false,false
m8i-flex.2xlarge,m8i-flex,2xlarge,"us-east-1b, us-east-1c, us-east-1d",false,false,false,nitro,8,x86_64,4,"1,2,3,4",2,"1,2",3.9,32,0,-,-,0,supported,default,Up to 15 Gigabit,required,4,30,30,true,"partition, spread",0,0,true,supported,ebs,-,true,-,true,1250,6000,156.25,10000,40000,1250,0.7518 USD per Hour,0.4022 USD per Hour,0.5272 USD per Hour,0.5174 USD per Hour,0.4162 USD per Hour,false,true
m7i.2xlarge,m7i,2xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,8,x86_64,4,"1,2,3,4",2,"1,2",3.2,32,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,2500,12000,312.5,10000,40000,1250,0.7712 USD per Hour,0.4032 USD per Hour,0.5282 USD per Hour,0.5184 USD per Hour,0.4172 USD per Hour,false,false
r6g.2xlarge,r6g,2xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,8,arm64,8,"1,2,3,4,5,6,7,8",1,1,2.5,64,0,-,-,0,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,2375,12000,296.875,4750,20000,593.75,-,0.4032 USD per Hour,0.5282 USD per Hour,0.5184 USD per Hour,0.4172 USD per Hour,false,false
c6id.2xlarge,c6id,2xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,8,x86_64,4,"2,4",2,"1,2",3.5,16,474,true,ssd,1,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,2500,12000,312.5,10000,40000,1250,0.7712 USD per Hour,0.4032 USD per Hour,0.5282 USD per Hour,0.5184 USD per Hour,0.4172 USD per Hour,false,true
a1.metal,a1,metal,"us-east-1b, us-east-1c, us-east-1d",false,false,true,,16,arm64,16,-,1,-,2.3,32,0,-,-,0,supported,default,Up to 10 Gigabit,required,8,30,30,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,false,3500,20000,437.5,3500,20000,437.5,-,0.408 USD per Hour,0.533 USD per Hour,0.581 USD per Hour,-,false,false
a1.4xlarge,a1,4xlarge,"us-east-1b, us-east-1c, us-east-1d",false,false,false,nitro,16,arm64,16,-,1,-,2.3,32,0,-,-,0,supported,default,Up to 10 Gigabit,required,8,30,30,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,false,3500,20000,437.5,3500,20000,437.5,-,0.408 USD per Hour,0.533 USD per Hour,0.5808 USD per Hour,-,false,false
c7a.2xlarge,c7a,2xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,8,x86_64,8,"1,2,3,4,5,6,7,8",1,1,3.7,16,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,2500,12000,312.5,10000,40000,1250,0.77856 USD per Hour,0.41056 USD per Hour,0.53556 USD per Hour,0.52576 USD per Hour,0.42456 USD per Hour,false,false
