Instance type,Instance family,Instance size,Availability zones,Free tier eligible,Free Trial available,Bare metal,Hypervisor,vCPUs,Architecture,Cores,Valid cores,Threads per core,Valid threads per core,Sustained clock speed (GHz),Memory (GiB),Storage (GB),Local instance storage,Storage type,Storage disk count,EBS encryption support,EBS optimization support,Network performance,ENA support,Maximum number of network interfaces,IPv4 addresses per interface,IPv6 addresses per interface,IPv6 support,Supported placement group strategies,GPUs,FPGAs,Auto Recovery support,Reboot migration support,Supported root device types,Dedicated Host support,On-Demand Hibernation support,Burstable Performance support,Current generation,EBS Baseline Bandwidth (Mbps),EBS Baseline IOPS,EBS Baseline Throughput (MB/s),EBS Maximum Bandwidth (Mbps),EBS Maximum IOPS,EBS Maximum Throughput (MB/s),On-Demand Windows pricing,On-Demand Linux pricing,On-Demand SUSE pricing,On-Demand RHEL pricing,On-Demand Ubuntu Pro pricing,ENA Express support,ENA queues support
m8gd.large,m8gd,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,2,arm64,2,"1,2",1,1,2.8,8,118,true,ssd,1,supported,default,Up to 12.5 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,630,3600,78.75,10000,40000,1250,-,0.11532 USD per Hour,0.17162 USD per Hour,0.14412 USD per Hour,0.11882 USD per Hour,false,false
m7a.large,m7a,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,2,x86_64,2,"1,2",1,1,3.7,8,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,650,3600,81.25,10000,40000,1250,0.20792 USD per Hour,0.11592 USD per Hour,0.17222 USD per Hour,0.14472 USD per Hour,0.11942 USD per Hour,false,false
r8g.large,r8g,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,2,arm64,2,"1,2",1,1,2.8,16,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,630,3600,78.75,10000,40000,1250,-,0.11782 USD per Hour,0.17412 USD per Hour,0.14662 USD per Hour,0.12132 USD per Hour,false,false
c8gb.large,c8gb,large,"us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,2,arm64,2,"1,2",1,1,2.8,4,0,-,-,0,supported,default,Up to 20 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,3125,15000,390.625,25000,120000,3125,-,0.1185 USD per Hour,0.1748 USD per Hour,0.1473 USD per Hour,0.122 USD per Hour,false,true
c8gn.large,c8gn,large,"us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,2,arm64,2,"1,2",1,1,2.8,4,0,-,-,0,supported,default,Up to 30 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,1250,5000,156.25,10000,40000,1250,-,0.1185 USD per Hour,0.1748 USD per Hour,0.1473 USD per Hour,0.122 USD per Hour,false,true
m6id.large,m6id,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,2,x86_64,1,1,2,"1,2",3.5,8,118,true,ssd,1,supported,default,Up to 12.5 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,650,3600,81.25,10000,40000,1250,0.21065 USD per Hour,0.11865 USD per Hour,0.17495 USD per Hour,0.14745 USD per Hour,0.12215 USD per Hour,false,true
m5n.large,m5n,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,2,x86_64,1,1,2,"1,2",3.1,8,0,-,-,0,supported,default,Up to 25 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,true,650,3600,81.25,4750,18750,593.75,0.211 USD per Hour,0.119 USD per Hour,0.175 USD per Hour,0.148 USD per Hour,0.123 USD per Hour,false,false
m8a.large,m8a,large,"us-east-1b, us-east-1c, us-east-1d",false,false,false,nitro,2,x86_64,2,"1,2",1,1,4.5,8,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,3,20,20,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,650,3600,81.25,10000,40000,1250,0.21372 USD per Hour,0.12172 USD per Hour,0.17802 USD per Hour,0.15052 USD per Hour,0.12522 USD per Hour,false,true
c7gn.large,c7gn,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,2,arm64,2,"1,2",1,1,2.6,4,0,-,-,0,supported,default,Up to 30 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,1042,4167,130.25,10000,40000,1250,-,0.1248 USD per Hour,0.1811 USD per Hour,0.1536 USD per Hour,0.1283 USD per Hour,false,false
r5.large,r5,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,2,x86_64,1,1,2,"1,2",3.1,16,0,-,-,0,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,650,3600,81.25,4750,18750,593.75,0.218 USD per Hour,0.126 USD per Hour,0.182 USD per Hour,0.155 USD per Hour,0.13 USD per Hour,false,false
r6i.large,r6i,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,2,x86_64,1,1,2,"1,2",3.5,16,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,false,650,3600,81.25,10000,40000,1250,0.218 USD per Hour,0.126 USD per Hour,0.1823 USD per Hour,0.1548 USD per Hour,0.1295 USD per Hour,false,true
c1.medium,c1,medium,"us-east-1a, us-east-1b, us-east-1c, us-east-1d",false,false,false,xen,2,"i386, x86_64",2,-,1,-,,1.7,350,true,hdd,1,supported,unsupported,Moderate,unsupported,2,6,0,-,"partition, spread",0,0,-,unsupported,"ebs, instance-store",-,-,-,false,0,0,0,0,0,0,0.21 USD per Hour,0.13 USD per Hour,0.23 USD per Hour,0.16 USD per Hour,-,false,false
r5ad.large,r5ad,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,2,x86_64,1,1,2,"1,2",2.2,16,75,true,ssd,1,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,-,unsupported,ebs,-,true,-,true,650,3600,81.25,2880,16000,360,0.223 USD per Hour,0.131 USD per Hour,0.187 USD per Hour,0.16 USD per Hour,0.135 USD per Hour,false,false
r8i-flex.large,r8i-flex,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d",false,false,false,nitro,2,x86_64,1,1,2,"1,2",3.9,16,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,3,20,20,true,"partition, spread",0,0,true,supported,ebs,-,true,-,true,315,2500,39.375,10000,40000,1250,0.21937 USD per Hour,0.13197 USD per Hour,0.18827 USD per Hour,0.16077 USD per Hour,0.13547 USD per Hour,false,true
r7i.large,r7i,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,2,x86_64,1,1,2,"1,2",3.2,16,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,650,3600,81.25,10000,40000,1250,0.2243 USD per Hour,0.1323 USD per Hour,0.1886 USD per Hour,0.1611 USD per Hour,0.1358 USD per Hour,false,false
r4.large,r4,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1e, us-east-1f",false,false,false,xen,2,x86_64,1,1,2,"1,2",2.3,15.3,0,-,-,0,supported,default,Up to 10 Gigabit,supported,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,false,425,3000,53.125,425,3000,53.125,0.225 USD per Hour,0.133 USD per Hour,0.233 USD per Hour,0.1618 USD per Hour,0.1365 USD per Hour,false,false
m3.large,m3,large,"us-east-1b, us-east-1c, us-east-1d, us-east-1e",false,false,false,xen,2,x86_64,1,1,2,"1,2",2.5,7.5,32,true,ssd,1,supported,unsupported,Moderate,unsupported,3,10,0,-,"partition, spread",0,0,true,unsupported,"ebs, instance-store",true,true,-,false,0,0,0,0,0,0,0.259 USD per Hour,0.133 USD per Hour,0.233 USD per Hour,0.163 USD per Hour,-,false,false
t4g.xlarge,t4g,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,4,arm64,4,"1,2,3,4",1,1,2.5,16,0,-,-,0,supported,default,Up to 5 Gigabit,required,4,15,15,true,"partition, spread",0,0,true,supported,ebs,-,true,true,true,695,4000,86.875,2780,15700,347.5,-,0.1344 USD per Hour,0.1907 USD per Hour,0.192 USD per Hour,0.1414 USD per Hour,false,false
m5dn.large,m5dn,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,2,x86_64,1,1,2,"1,2",3.1,8,75,true,ssd,1,supported,default,Up to 25 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,-,-,true,650,3600,81.25,4750,18750,593.75,0.228 USD per Hour,0.136 USD per Hour,-,0.165 USD per Hour,0.14 USD per Hour,false,false
c6g.xlarge,c6g,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,4,arm64,4,"1,2,3,4",1,1,2.5,8,0,-,-,0,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,1188,6000,148.5,4750,20000,593.75,-,0.136 USD per Hour,0.1923 USD per Hour,0.1936 USD per Hour,0.143 USD per Hour,false,false
