Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,573,0,5100.0,5160.845678132635,459.13492500039865,34687.249110000266,76905.0,3.11278749269036,0.0,5100,5300,5400,5500,5600,5800,8900,16000,35000,35000,35000
GET,/post-detail,1932,0,5000.0,5097.151195924955,307.0556510001552,43093.00733300006,86440.17805383023,10.49547196488268,0.0,5000,5200,5300,5300,5500,5600,10000,21000,39000,43000,43000
,Aggregated,2505,0,5000.0,5111.720831974866,307.0556510001552,43093.00733300006,84259.07744510978,13.608259457573041,0.0,5000,5200,5300,5400,5500,5700,10000,21000,36000,43000,43000
