Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1658,0,300.0,366.85458003498445,248.2701880003333,2576.9625809998615,76854.0,9.237041357664358,0.0,300,350,390,410,510,650,960,1600,2300,2600,2600
GET,/post-detail,5766,0,290.0,358.82387350589465,243.29083400016316,2629.897192000044,86389.89195282692,32.123510535761575,0.0,290,340,380,400,500,620,970,1400,2500,2600,2600
,Aggregated,7424,0,290.0,360.61736911813256,243.29083400016316,2629.897192000044,84260.24366918103,41.360551893425935,0.0,290,340,380,400,510,620,970,1400,2400,2600,2600
