Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1710,6,290.0,379.3144912228058,2.516061000051195,1761.0578530000112,76584.7649122807,9.515683266004464,0.03338836233685777,290,370,410,450,600,790,1100,1300,1800,1800,1800
GET,/post-detail,5660,48,290.0,372.237498751236,2.3915639999358973,2111.6679689999955,85657.67084805654,31.49635513776916,0.26710689869486215,290,360,400,440,590,780,1000,1200,1600,2100,2100
,Aggregated,7370,54,290.0,373.8795146435542,2.3915639999358973,2111.6679689999955,83552.55970149254,41.01203840377362,0.3004952610317199,290,360,400,440,590,780,1000,1200,1600,2100,2100
