Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,948,0,1700.0,2233.7332856086446,213.06827099988368,31131.940886999928,76905.0,5.144881059935814,0.0,1700,1900,1900,2000,2100,2200,19000,24000,31000,31000,31000
GET,/post-detail,3184,0,1700.0,2326.1241408592973,208.22335399998337,33485.08644499998,86440.61840452261,17.27985368653548,0.0,1700,1800,1900,2000,2100,2300,21000,25000,31000,33000,33000
,Aggregated,4132,0,1700.0,2304.927013371972,208.22335399998337,33485.08644499998,84252.8724588577,22.42473474647129,0.0,1700,1800,1900,2000,2100,2300,20000,25000,31000,33000,33000
