Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1248,436,6100.0,13325.16090898713,48.32722899845976,67279.84268599903,50229.10496794872,6.580643485280468,2.2990068586396504,6100,10000,10000,10000,54000,60000,60000,61000,67000,67000,67000
GET,/post-detail,4192,1427,6000.0,13658.227148105218,47.67236999941815,67304.23766599961,57191.47876908397,22.10421273260875,7.524501805685278,6000,10000,10000,10000,56000,60000,60000,63000,67000,67000,67000
,Aggregated,5440,1863,6000.0,13581.81783442517,47.67236999941815,67304.23766599961,55594.22830882353,28.684856217889216,9.823508664324928,6000,10000,10000,10000,55000,60000,60000,62000,67000,67000,67000
