Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1720,0,290.0,358.49768828375437,248.23036399902776,1407.979556999635,76854.0,9.586540393164565,0.0,290,350,390,420,560,670,860,1000,1400,1400,1400
GET,/post-detail,5751,0,290.0,348.97161280508766,243.6368320013571,1413.0242789997283,86389.97165710312,32.05360104714501,0.0,290,340,380,410,530,640,800,900,1300,1400,1400
,Aggregated,7471,0,290.0,351.16473953823066,243.6368320013571,1413.0242789997283,84194.56659081783,41.64014144030958,0.0,290,350,390,410,540,640,810,930,1300,1400,1400
