Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,919,7,740.0,3129.0898402742537,20.544351998978527,60007.21217300088,76269.58868335147,4.845342832378954,0.036906855088849486,740,860,950,1000,1200,15000,53000,58000,60000,60000,60000
GET,/post-detail,2718,24,750.0,2889.697927609243,17.19532299830462,60019.67886700004,85627.4264164827,14.330404590213272,0.12653778887605538,750,870,950,1000,1200,2800,53000,58000,60000,60000,60000
,Aggregated,3637,31,750.0,2950.187663033808,17.19532299830462,60019.67886700004,83262.8806708826,19.175747422592224,0.16344464396490485,750,870,950,1000,1200,2900,53000,58000,60000,60000,60000
