Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,10533,7550,310.0,1917.7902724984344,30.576744999052607,45090.535416999046,23479.24409000285,55.6356445187575,39.87934264849702,310,640,1500,2800,6000,9900,14000,17000,43000,45000,45000
GET,/post-detail,35349,25136,310.0,1873.1634979779546,30.0572709984408,46098.037323001336,26660.078022009107,186.71455407704917,132.76915984273128,310,650,1500,2700,5900,9600,14000,17000,43000,45000,46000
,Aggregated,45882,32686,310.0,1883.4083394413744,30.0572709984408,46098.037323001336,25929.863039972104,242.35019859580666,172.6485024912283,310,650,1500,2700,5900,9700,14000,17000,43000,45000,46000
