Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1229,428,5800.0,13780.41825028885,816.9160910001665,67276.57352999995,50135.516680227825,6.49466933104528,2.26177255792301,5800,10000,10000,10000,60000,60000,60000,63000,67000,67000,67000
GET,/post-detail,4277,1499,5700.0,13631.221736645084,261.4445359995443,67304.67644999953,56158.59878419453,22.601872033263355,7.921488468052786,5700,10000,10000,10000,60000,60000,60000,61000,67000,67000,67000
,Aggregated,5506,1927,5700.0,13664.524045992723,261.4445359995443,67304.67644999953,54814.1803487105,29.09654136430863,10.183261025975797,5700,10000,10000,10000,60000,60000,60000,61000,67000,67000,67000
