Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2056,1327,10000.0,7879.647818127437,279.8863709995203,61059.283663000315,27335.471789883268,10.843009474540315,6.9983820878964,10000,10000,10000,10000,10000,10000,17000,60000,61000,61000,61000
GET,/post-detail,6824,4270,10000.0,7715.570484038562,298.14303499915695,61056.53684800018,32415.29088511137,35.98866568787116,22.519285241384797,10000,10000,10000,10000,10000,10000,21000,60000,60000,61000,61000
,Aggregated,8880,5597,10000.0,7753.559560489772,279.8863709995203,61059.283663000315,31239.15259009009,46.83167516241148,29.5176673292812,10000,10000,10000,10000,10000,10000,19000,60000,60000,61000,61000
