Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,740,11,1500.0,3494.7827412243178,207.34806099994785,60015.027317999964,75763.77972972974,3.904261072035459,0.058036313232959526,1500,1800,2000,2100,2400,20000,47000,60000,60000,60000,60000
GET,/post-detail,2271,41,1500.0,3914.5125344306534,204.161266999904,60014.05476800005,84882.1021576398,11.981860668368281,0.2163171675046673,1500,1800,2000,2100,2400,29000,58000,60000,60000,60000,60000
,Aggregated,3011,52,1500.0,3811.3574208561954,204.161266999904,60015.027317999964,82641.13284623048,15.88612174040374,0.27435348073762683,1500,1800,2000,2100,2400,27000,54000,60000,60000,60000,60000
