Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2971,1330,440.0,5033.677059591068,2.3061029987729853,48119.74708100024,43447.18310333221,15.722241270062975,7.03822985162698,440,2700,7900,10000,14000,26000,40000,43000,47000,48000,48000
GET,/post-detail,9715,4397,440.0,4704.121220487977,2.200058999733301,50090.82486100124,48265.90231600618,51.41082932974143,23.268493727521676,440,2500,7000,9600,13000,22000,37000,43000,48000,50000,50000
,Aggregated,12686,5727,440.0,4781.301608157494,2.200058999733301,50090.82486100124,47137.381522938675,67.13307059980441,30.306723579148656,440,2600,7100,9700,13000,23000,38000,43000,48000,50000,50000
