Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1368,457,5800.0,11481.438327415937,31.519862999630277,67170.50054399988,51726.31505847953,7.233517853424741,2.4164602770578263,5800,10000,18000,20000,31000,57000,60000,60000,67000,67000,67000
GET,/post-detail,4618,1497,6500.0,11981.802580726931,31.274476001271978,67261.68454100116,58929.16327414465,24.41841041455808,7.915625896620495,6500,11000,19000,20000,32000,56000,60000,60000,67000,67000,67000
,Aggregated,5986,1954,6400.0,11867.452714617752,31.274476001271978,67261.68454100116,57283.07300367524,31.651928267982818,10.33208617367832,6400,11000,19000,20000,32000,56000,60000,60000,67000,67000,67000
