Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,443,4,44000.0,39430.79664168402,1137.09894800013,60007.985704998646,76211.7900677201,2.3383704196226245,0.021113954127518056,44000,45000,45000,46000,46000,47000,49000,56000,60000,60000,60000
GET,/post-detail,1532,17,44000.0,39477.87249893144,748.4206350000022,60006.60478200007,85482.80809399478,8.086644430839415,0.08973430504195173,44000,45000,45000,45000,46000,47000,53000,60000,60000,60000,60000
,Aggregated,1975,21,44000.0,39467.31320538174,748.4206350000022,60007.985704998646,83403.28354430379,10.42501485046204,0.11084825916946979,44000,45000,45000,45000,46000,47000,50000,60000,60000,60000,60000
