Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2332,2281,1000.0,1440.1933217075166,4.732489000161877,12204.280769999968,3109.9742710120067,12.890372580872956,12.608464775716643,1000,1500,2000,2300,3300,4000,5500,7100,11000,12000,12000
GET,/post-detail,8033,7867,1000.0,1410.2507070103409,4.620036999767763,12664.035218998833,3246.3920079671357,44.403243114130554,43.48566084636687,1000,1500,2000,2300,3200,3800,5400,6900,11000,13000,13000
,Aggregated,10365,10148,1000.0,1416.9874342147612,4.620036999767763,12664.035218998833,3215.6996623251325,57.29361569500351,56.09412562208351,1000,1500,2000,2300,3200,3800,5400,6900,11000,12000,13000
