Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,427,25,2000.0,6325.321059707255,12.317800999881001,60013.55550199969,72410.04683840749,2.2627854864427466,0.13248158585730366,2000,2200,2300,2400,3200,60000,60000,60000,60000,60000,60000
GET,/post-detail,1440,105,2000.0,7579.490581520158,2.950012000837887,60015.101650999895,80147.2173611111,7.630939345380691,0.5564226606006754,2000,2200,2300,2400,45000,60000,60000,60000,60000,60000,60000
,Aggregated,1867,130,2000.0,7292.650524844152,2.950012000837887,60015.101650999895,78377.65559721478,9.893724831823437,0.688904246457979,2000,2200,2300,2400,32000,60000,60000,60000,60000,60000,60000
