Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,3099,2119,10000.0,11528.795594300766,254.45845800095412,67378.71127800099,24410.005808325266,16.34851990937439,11.178610418833278,10000,10000,11000,11000,11000,11000,61000,63000,67000,67000,67000
GET,/post-detail,10408,7201,10000.0,11235.180014030817,253.37648400090984,67376.54939499953,26726.133166794774,54.90654895668558,37.98828391978218,10000,10000,11000,11000,11000,11000,17000,63000,67000,67000,67000
,Aggregated,13507,9320,10000.0,11302.546171079548,253.37648400090984,67378.71127800099,26194.72880728511,71.25506886605997,49.16689433861545,10000,10000,11000,11000,11000,11000,60000,63000,67000,67000,67000
