Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,870,0,2700.0,2694.9086692459373,232.16965200117556,3474.1911349992733,76854.0,4.822222636997913,0.0,2700,2800,2900,2900,3000,3100,3200,3200,3500,3500,3500
GET,/post-detail,2911,0,2700.0,2632.1888679639283,222.54117200282053,4255.654045999108,86391.10992785984,16.13504608770221,0.0,2700,2800,2800,2900,2900,3000,3100,3200,3500,4300,4300
,Aggregated,3781,0,2700.0,2646.6205598748884,222.54117200282053,4255.654045999108,84196.64136471832,20.957268724700125,0.0,2700,2800,2800,2900,3000,3100,3100,3200,3500,4300,4300
