Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,417,25,2100.0,7720.380728992802,311.33001600028365,60019.09242700003,72302.30215827338,2.1997419370742484,0.13187901301404364,2100,2300,2400,2500,44000,60000,60000,60000,60000,60000,60000
GET,/post-detail,1424,78,2000.0,7297.946967163606,265.5294500000309,61163.45315000035,81713.96769662922,7.511828581279927,0.4114625206038162,2000,2200,2300,2500,20000,60000,60000,60000,61000,61000,61000
,Aggregated,1841,103,2100.0,7393.631311912534,265.5294500000309,61163.45315000035,79582.15643671917,9.711570518354176,0.5433415336178599,2100,2200,2400,2500,21000,60000,60000,60000,61000,61000,61000
