Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1605,304,1600.0,4731.207108132721,31.52683100051945,26248.61846099884,62757.68099688474,8.498916083162165,1.60976354472355,1600,8100,9400,10000,11000,12000,15000,19000,25000,26000,26000
GET,/post-detail,5106,951,1400.0,4497.718125156504,30.79863499988278,26060.13571800031,70752.0115550333,27.03767322157384,5.0358063520792635,1400,7500,9100,9800,11000,12000,14000,17000,26000,26000,26000
,Aggregated,6711,1255,1500.0,4553.55925429924,30.79863499988278,26248.61846099884,68840.09074653554,35.536589304736005,6.645569896802814,1500,7600,9100,9900,11000,12000,15000,17000,26000,26000,26000
