Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,3393,12,720.0,1064.2959197836474,22.04926800004614,8661.020344001372,76590.10816386678,18.87158626811537,0.06674301067414808,720,980,1200,1400,2100,3200,5300,6500,8400,8700,8700
GET,/post-detail,11055,37,700.0,1038.230283267473,2.2807850000390317,8508.654335000756,86106.97575757575,61.48699858355892,0.20579094957862326,700,940,1200,1300,2100,3200,4900,5900,7800,8400,8500
,Aggregated,14448,49,710.0,1044.351594500818,2.2807850000390317,8661.020344001372,83872.01370431893,80.3585848516743,0.2725339602527713,710,950,1200,1300,2100,3200,5000,6000,7900,8600,8700
