Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,928,20,8000.0,9146.444602520562,235.52755099808564,60007.97094800146,75200.50862068965,4.92258126315542,0.10609011343007371,8000,8100,8200,8200,8400,9400,60000,60000,60000,60000,60000
GET,/post-detail,3019,66,7900.0,9298.246282165952,235.72870700081694,60026.581047000946,84504.38522689632,16.01430262226963,0.35009737431924326,7900,8000,8100,8200,8400,9300,60000,60000,60000,60000,60000
,Aggregated,3947,86,7900.0,9262.555388142417,235.52755099808564,60026.581047000946,82316.90169749176,20.936883885425047,0.456187487749317,7900,8000,8100,8200,8400,9300,60000,60000,60000,60000,60000
