Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,3826,3734,1400.0,2250.023143156553,7.152003998271539,15730.93032199904,3425.1855723993726,20.238292303352242,19.751642305467136,1400,2000,2600,3100,5100,8000,12000,13000,15000,16000,16000
GET,/post-detail,12637,12331,1400.0,2320.1836064903173,5.989563000184717,16954.429937000896,3717.7975785392105,66.84560894863101,65.22696873827404,1400,2000,2600,3200,5600,8600,12000,13000,15000,16000,17000
,Aggregated,16463,16065,1400.0,2303.8783199255968,5.989563000184717,16954.429937000896,3649.7945696410134,87.08390125198326,84.97861104374118,1400,2000,2600,3200,5500,8400,12000,13000,15000,16000,17000
