Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1488,936,10000.0,11666.778126792316,1019.0032230002544,63044.06272000051,28593.387096774193,7.850117499364695,4.937977136697147,10000,10000,10000,10000,10000,60000,60000,60000,63000,63000,63000
GET,/post-detail,5017,3112,10000.0,11710.91342225359,819.0891670001292,67289.62890399998,32884.92166633446,26.467768477360668,16.417718856198206,10000,10000,10000,10000,10000,60000,60000,60000,67000,67000,67000
,Aggregated,6505,4048,10000.0,11700.817600632276,819.0891670001292,67289.62890399998,31903.24550345888,34.317885976725364,21.355695992895352,10000,10000,10000,10000,10000,60000,60000,60000,63000,67000,67000
