Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1802,0,260.0,298.23510845729083,243.5636499994871,1403.6040840001078,76854.0,10.044725587041464,0.0,260,280,300,310,380,440,540,750,1300,1400,1400
GET,/post-detail,5861,0,260.0,295.0355619904523,239.25579499882588,1438.1899119998707,86389.65603139396,32.67044210080467,0.0,260,270,290,310,380,430,550,710,1300,1400,1400
,Aggregated,7663,0,260.0,295.7879543607042,239.25579499882588,1438.1899119998707,84147.28983426857,42.71516768784614,0.0,260,270,290,310,380,440,540,720,1300,1400,1400
