Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,9804,7225,300.0,2144.156694437369,30.733673000213457,37340.3032239994,21901.65534475724,51.694166132491375,38.09571096565179,300,630,1700,3100,8600,11000,15000,17000,23000,37000,37000
GET,/post-detail,32891,24044,300.0,2099.223831463799,30.50420399995346,40786.0798720003,24931.156942628684,173.4264400513845,126.77830788347843,300,620,1600,3100,8400,11000,14000,16000,26000,39000,41000
,Aggregated,42695,31269,300.0,2109.541709168289,30.50420399995346,40786.0798720003,24235.496240777607,225.12060618387588,164.87401884913024,300,620,1600,3100,8500,11000,14000,17000,26000,39000,41000
