Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,786,8,1600.0,3317.350566604328,21.149163000018234,60016.58249299999,76073.10178117048,4.167636961320696,0.04241869680733532,1700,3400,4200,4700,5200,6200,14000,52000,60000,60000,60000
GET,/post-detail,2481,27,1600.0,3465.9413414925393,19.434371999977884,60018.63223300006,85450.05239822651,13.155098347374867,0.14316310172475671,1600,3400,4000,4500,5100,6500,31000,52000,60000,60000,60000
,Aggregated,3267,35,1600.0,3430.1922294441433,19.434371999977884,60018.63223300006,83194.07346189165,17.322735308695563,0.18558179853209206,1600,3400,4100,4600,5100,6400,28000,52000,60000,60000,60000
