Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2724,1116,1700.0,5540.652813521644,2.671799000381725,60008.587725000325,46270.092511013216,14.422632377717767,5.908831767082609,1700,5400,6300,6600,11000,22000,49000,60000,60000,60000,60000
GET,/post-detail,8868,3807,1700.0,5289.328296441482,2.414440999928047,62276.09717500127,50228.290820929185,46.952975009398365,20.156740624805998,1800,5400,6100,6500,10000,21000,47000,60000,60000,62000,62000
,Aggregated,11592,4923,1700.0,5348.386956252255,2.414440999928047,62276.09717500127,49298.155193236715,61.37560738711613,26.065572391888608,1700,5400,6200,6600,10000,21000,47000,60000,60000,61000,62000
