Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1683,629,3100.0,9921.077516620919,3.01059199955489,67286.50150300018,48180.00237670826,8.867472874036434,3.3141060236297784,3100,10000,10000,10000,10000,60000,60000,63000,67000,67000,67000
GET,/post-detail,5651,2060,3000.0,9545.465403399407,2.862387000277522,67526.3526409999,54945.914528402056,29.774265722626197,10.853828948612628,3000,10000,10000,10000,10000,60000,60000,63000,67000,68000,68000
,Aggregated,7334,2689,3000.0,9631.660547461546,2.862387000277522,67526.3526409999,53393.27883828743,38.641738596662634,14.167934972242408,3000,10000,10000,10000,10000,60000,60000,63000,67000,68000,68000
