Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1807,1429,10000.0,9482.788493905357,649.3747799995617,61066.902331000165,16181.2064194798,9.526442004955387,7.533638973481598,10000,10000,10000,10000,10000,10000,10000,60000,61000,61000,61000
GET,/post-detail,6107,4809,10000.0,9358.446096978878,485.8744100001786,61067.90311199984,18465.438185688556,32.19589447939266,25.352883011527645,10000,10000,10000,10000,10000,10000,10000,60000,61000,61000,61000
,Aggregated,7914,6238,10000.0,9386.837139592726,485.8744100001786,61067.90311199984,17943.88059135709,41.722336484348055,32.886521985009246,10000,10000,10000,10000,10000,10000,10000,60000,61000,61000,61000
