Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2303,858,2700.0,6380.228796535386,32.32744399974763,67286.68335799921,49046.18237082067,12.203582723320254,4.5465366811154055,2700,5000,6100,6700,11000,36000,60000,60000,60000,67000,67000
GET,/post-detail,8010,3088,2500.0,6112.903495375776,31.46731400011049,67304.8074519993,53947.308614232206,42.444940344678784,16.36329285697479,2500,4800,5800,6500,10000,35000,60000,60000,60000,67000,67000
,Aggregated,10313,3946,2500.0,6172.600011284896,31.46731400011049,67304.8074519993,52852.83622612237,54.64852306799904,20.909829538090197,2500,4800,5800,6600,10000,36000,60000,60000,60000,67000,67000
