Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1519,0,480.0,709.5702859328462,250.45939200003886,3695.061549000002,76854.0,8.465328070112774,0.0,480,640,820,1100,1700,2000,2300,2500,3000,3700,3700
GET,/post-detail,5023,0,480.0,685.97480037209,246.10753199999635,3622.6911539999946,86389.22615966554,27.992984131781736,0.0,480,650,800,980,1600,1900,2200,2300,2900,3600,3600
,Aggregated,6542,0,480.0,691.4534831245799,246.10753199999635,3695.061549000002,84175.22302048303,36.45831220189451,0.0,480,650,800,1000,1600,1900,2200,2300,3000,3700,3700
