Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,620,12,1000.0,4695.10012815001,2.2665359974780586,43795.38076800236,75368.86451612903,3.4493245294450845,0.06676111992474357,1000,7200,9000,10000,11000,12000,19000,37000,44000,44000,44000
GET,/post-detail,2138,55,940.0,4281.356273226835,2.114646002155496,47233.30896599873,84171.1033676333,11.894606199925146,0.30598846632174137,950,6700,8000,9400,11000,11000,17000,31000,44000,47000,47000
,Aggregated,2758,67,950.0,4374.366131839009,2.114646002155496,47233.30896599873,82192.35496736766,15.34393072937023,0.3727495862464849,950,6800,8200,9700,11000,12000,18000,32000,44000,47000,47000
