Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1027,209,4100.0,7282.141811217099,32.43065800052136,61020.59063900015,61587.63875365141,5.442070607434857,1.1074905131001804,4100,7700,10000,11000,12000,16000,60000,60000,60000,61000,61000
GET,/post-detail,3462,721,4800.0,7405.044821727602,31.7367479983659,67214.96435699737,68771.95927209705,18.34512993470251,3.8205773203121054,4800,8300,10000,11000,12000,16000,60000,60000,60000,67000,67000
,Aggregated,4489,930,4600.0,7376.926890831116,31.7367479983659,67214.96435699737,67128.31989307195,23.787200542137366,4.928067833412285,4600,8100,10000,11000,12000,16000,60000,60000,60000,67000,67000
