Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1511,507,2400.0,10522.569084245555,2.155474001483526,67276.28395899956,51407.15751158173,8.003512668819553,2.685493661873933,2400,10000,11000,12000,33000,60000,61000,63000,67000,67000,67000
GET,/post-detail,5162,1842,4800.0,10907.320866515063,2.051693001703825,67308.68145100249,55934.32642386672,27.342245133320006,9.756763954973936,4900,10000,11000,12000,39000,60000,60000,63000,67000,67000,67000
,Aggregated,6673,2349,3500.0,10820.199640228637,2.051693001703825,67308.68145100249,54909.217443428744,35.34575780213956,12.442257616847868,3500,10000,11000,12000,36000,60000,60000,63000,67000,67000,67000
